Hotel_Name,Star_Rating,Address,Double or Twin Room,Twin Room,Quadruple Room,Family Room with Bathroom,Deluxe Double Room,Double Room with Terrace,King Studio with Sofa Bed,Penthouse Apartment,Standard Twin Room,Suite,Classic Triple Room,Classic Quadruple Room,Single Room,Studio,Superior Apartment,Deluxe Apartment,Double Room,Studio (2 Adults),Triple Room,Superior Double Room with Garden View,Standard Triple Room,Superior Triple Room with Garden View,Standard Quadruple Room with Kitchenette,Superior Double Room with Sofa and with Garden View,Deluxe Two-Bedrooms Apartment with Fireplace,Deluxe Single Room,Tent,Economy Twin Room,Superior Family Room,Family Room,Twin Room with Shared Bathroom,Double Room with Private Bathroom,Triple Room with Shared Bathroom,Triple Room with Private Bathroom,Quadruple Room with Private Bathroom,Double or Twin Room with Extra Bed,Standard Double or Twin Room,Standard Suite,Superior Double or Twin Room,Superior Suite,Standard Double Room,Standard Quadruple Room,Triple Room with Shower,Double Room with Private External Bathroom,Double Room with Balcony,Apartment - Ground Floor,Two-Bedroom Apartment,Deluxe Twin/Double Room
harmony-resort-javornik,3,"Javorník 31 31, Čtyřkoly, 257 22, Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
harmony-resort-javornik,3,"Javorník 31 31, Čtyřkoly, 257 22, Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
harmony-resort-javornik,3,"Javorník 31 31, Čtyřkoly, 257 22, Czech Republic",,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harmony-resort-javornik,3,"Javorník 31 31, Čtyřkoly, 257 22, Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
atlas,3,"Tyršova 2063, Benešov, 256 01, Czech Republic",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benica,3,"Ke Stadionu 2045, Benešov, 256 01, Czech Republic",,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benica,3,"Ke Stadionu 2045, Benešov, 256 01, Czech Republic",,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benica,3,"Ke Stadionu 2045, Benešov, 256 01, Czech Republic",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benica,3,"Ke Stadionu 2045, Benešov, 256 01, Czech Republic",,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benica,3,"Ke Stadionu 2045, Benešov, 256 01, Czech Republic",,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hvezdonice-hostinec-u-kuzelku,0,"Hvězdonice, Hvězdonice, 257 24, Czech Republic",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
hvezdonice-hostinec-u-kuzelku,0,"Hvězdonice, Hvězdonice, 257 24, Czech Republic",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
hvezdonice-hostinec-u-kuzelku,0,"Hvězdonice, Hvězdonice, 257 24, Czech Republic",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
hvezdonice-hostinec-u-kuzelku,0,"Hvězdonice, Hvězdonice, 257 24, Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
hvezdonice-hostinec-u-kuzelku,0,"Hvězdonice, Hvězdonice, 257 24, Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
restaurace-u-vlkove,0,"Benešovská, Kamenice, 251 68, Czech Republic",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
restaurace-u-vlkove,0,"Benešovská, Kamenice, 251 68, Czech Republic",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
restaurace-u-vlkove,0,"Benešovská, Kamenice, 251 68, Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
restaurace-u-vlkove,0,"Benešovská, Kamenice, 251 68, Czech Republic",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pezion-stranny,3,"Stranny 25, Stranný, 257 56, Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
pezion-stranny,3,"Stranny 25, Stranný, 257 56, Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
pezion-stranny,3,"Stranny 25, Stranný, 257 56, Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
pezion-stranny,3,"Stranny 25, Stranný, 257 56, Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
pezion-stranny,3,"Stranny 25, Stranný, 257 56, Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
pezion-stranny,3,"Stranny 25, Stranný, 257 56, Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
pezion-stranny,3,"Stranny 25, Stranný, 257 56, Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
akademie-nahac,4,"Komorní Hrádek 277, Chocerady, 25724, Czech Republic",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akademie-nahac,4,"Komorní Hrádek 277, Chocerady, 25724, Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
akademie-nahac,4,"Komorní Hrádek 277, Chocerady, 25724, Czech Republic",,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
